iter	Passed	Remaining
421	1660	2273
422	1661	2266
423	1663	2259
424	1665	2252
425	1666	2245
426	1668	2238
427	1670	2231
428	1671	2225
429	1678	2224
430	1680	2218
431	1681	2211
432	1683	2205
433	1685	2198
434	1686	2191
435	1688	2184
436	1692	2180
437	1694	2174
438	1696	2167
439	1697	2160
440	1699	2153
441	1700	2146
442	1701	2139
443	1708	2139
444	1710	2132
445	1712	2126
446	1713	2120
447	1715	2113
448	1717	2107
449	1719	2101
450	1721	2096
451	1723	2089
452	1725	2083
453	1727	2077
454	1728	2070
455	1731	2065
456	1733	2059
457	1745	2065
458	1747	2059
459	1752	2056
460	1754	2050
461	1755	2044
462	1757	2038
463	1759	2032
464	1761	2026
465	1763	2020
466	1764	2014
467	1766	2008
468	1768	2002
469	1774	2001
470	1776	1995
471	1778	1989
472	1779	1983
473	1781	1976
474	1782	1970
475	1784	1964
476	1796	1969
477	1798	1963
478	1799	1957
479	1805	1956
480	1808	1950
481	1809	1944
482	1811	1938
483	1814	1934
484	1816	1928
485	1818	1923
486	1819	1916
487	1821	1910
488	1823	1905
489	1825	1899
490	1831	1898
491	1833	1892
492	1834	1886
493	1836	1881
494	1838	1875
495	1839	1869
496	1853	1876
497	1855	1870
498	1861	1868
499	1862	1862
500	1864	1857
501	1866	1851
502	1867	1845
503	1869	1840
504	1871	1834
505	1884	1840
506	1887	1835
507	1891	1832
508	1893	1826
509	1895	1820
510	1896	1815
511	1898	1809
512	1900	1804
513	1901	1798
514	1910	1799
515	1912	1793
516	1914	1788
517	1915	1782
518	1917	1776
519	1918	1771
520	1921	1766
521	1923	1761
522	1924	1755
523	1926	1749
524	1927	1744
525	1929	1738
526	1930	1732
527	1932	1727
528	1933	1721
529	1938	1719
530	1940	1713
531	1941	1708
532	1943	1702
533	1945	1697
534	1946	1691
535	1948	1686
536	1950	1682
537	1952	1676
538	1954	1671
539	1956	1666
540	1957	1661
541	1959	1655
542	1961	1650
543	1962	1645
544	1964	1640
545	1966	1635
546	1968	1629
547	1969	1624
548	1971	1619
549	1972	1614
550	1975	1609
551	1977	1605
552	1979	1600
553	1981	1595
554	1983	1590
555	1985	1585
556	1986	1580
557	1993	1579
558	1995	1574
559	1997	1569
560	1998	1564
561	2000	1559
562	2002	1554
563	2005	1550
564	2008	1546
565	2009	1541
566	2011	1536
567	2014	1531
568	2017	1528
569	2027	1529
570	2030	1525
571	2032	1520
572	2037	1518
573	2039	1513
574	2044	1510
575	2045	1505
576	2047	1501
577	2049	1496
578	2058	1496
579	2060	1491
580	2061	1486
581	2063	1481
582	2064	1476
583	2070	1474
584	2072	1469
585	2073	1465
586	2075	1460
587	2077	1455
588	2079	1450
589	2086	1449
590	2087	1444
591	2089	1440
592	2091	1435
593	2093	1430
594	2094	1425
595	2098	1422
596	2099	1417
597	2101	1412
598	2103	1408
599	2105	1403
600	2106	1398
601	2108	1393
602	2109	1389
603	2115	1386
604	2117	1382
605	2118	1377
606	2120	1372
607	2122	1368
608	2123	1363
609	2125	1358
610	2130	1356
611	2132	1352
612	2134	1347
613	2136	1343
614	2137	1338
615	2139	1333
616	2152	1336
617	2154	1331
618	2155	1326
619	2159	1323
620	2161	1319
621	2163	1314
622	2165	1310
623	2167	1305
624	2168	1301
625	2170	1296
626	2182	1298
627	2184	1293
628	2187	1290
629	2194	1288
630	2196	1284
631	2197	1279
632	2199	1275
633	2201	1271
634	2210	1270
635	2212	1266
636	2214	1261
637	2216	1257
638	2223	1255
639	2228	1253
640	2230	1249
641	2232	1245
642	2234	1240
643	2243	1240
644	2247	1236
645	2248	1232
646	2254	1230
647	2256	1225
648	2258	1221
649	2261	1217
650	2264	1214
651	2281	1217
652	2285	1214
653	2289	1211
654	2290	1206
655	2292	1202
